,Scientific Name ,Common Name,Plant Type,Weed Status,Victorian Status,Area Of Potential Distribution Remaining,Potential For Invasion,Risk Rating,Family,Victorian Biomes,Impact On Natural Systems,Native,Rate Of Dispersal,Height Ranges,Spread Ranges,Flower Colour,Leaf Colour,Climate Zones,Abcission,Soil Type,Light Needs
55,Grevillea robusta,Silky Oak,Large Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Proteaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,Yes,Slow,Over 15m,5 to 10m,Orange,Dark green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
56,Hardenbergia violacea,Purple Coral-pea,Climber,Casual or Ruderal,Native to Victoria,,Currently non-invasive,Lower Risk,Fabaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Currently Insignificant,Yes,,2 to 5m,3 to 5m,Blue,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam,Sun
57,Helianthus annuus,Common Sunflower,Annual,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Asteraceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Currently Insignificant,No,,1 to 2m,0.5 to 1m,Yellow,Mid green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Deciduous,Loam,Sun
58,Helianthus tuberosus,Jerusalem Artichoke,Perennial | Vegetable,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Asteraceae,Coasts and Heathlands,Currently Insignificant,No,,1 to 2m,1 to 2m,Yellow,Grey-green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
59,Hemerocallis fulva,Orange Day Lily,Perennial,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Asphodelaceae,Ranges,Currently Insignificant,No,,Under 0.5m,0.5 to 1m,Yellow,Light green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Semi-deciduous,Loam,Sun
60,Hydrocleys nymphoides,Water Poppy,Aquatic,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Very High Risk,Alismataceae,Aquatic,Typically significant,No,Moderate,Under 0.5m,0.5 to 1m,Cream,Mid green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
61,Ilex aquifolium,English Holly,Shrub,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,Very High Risk,Aquifoliaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,No,Rapid,2 to 5m,2 to 3m,White,Dark green,Temperate,Evergreen,Loam,Sun
62,Jasminum polyanthum,Winter Jasmine,Climber,Environmental Weed,Introduced,Early Stage of Invasion,Somewhat Invasive,High Risk,Oleaceae,Coasts and Heathlands |  Ranges,Occasionally significant,No,Moderate,5 to 8m,3 to 5m,White,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
63,Juglans regia,Walnut,Fruit | Tree,Environmental Weed,Introduced,Early Stage of Invasion,Somewhat Invasive,High Risk,Juglandaceae,Ranges,Occasionally significant,No,Slow,8 to 15m,5 to 10m,Insignificant,Mid green,Temperate,Deciduous,Loam,Sun
64,Kennedia rubicunda,Dusky Coral-pea,Climber,Environmental Weed,Native to Victoria,Extensive potential for further spread,Somewhat Invasive,Moderately High Risk,Fabaceae,Ranges |  Inland Plains,Occasionally significant,Yes,Slow,2 to 5m,2 to 3m,Red,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam,Sun
65,Kniphofia uvaria,Red-hot Poker,Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,High Risk,Asphodelaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,No,Moderate,0.5 to 1m,0.5 to 1m,Red and yellow,Light green,Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun | Semi-shade
66,Leptospermum laevigatum,Coast Tea-tree,Small Tree,Environmental Weed,Native to Victoria,Extensive potential for further spread,Highly Invasive,Very High Risk,Myrtaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,Yes,Moderate,2 to 5m,1 to 2m,White,Grey-green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
67,Leucanthemum vulgare,Ox-eye Daisy,Perennial,Environmental Weed,Introduced,Moderate potential for further spread,Highly Invasive,High Risk,Asteraceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,No,Moderate,0.5 to 1m,Under 0.5m,White,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
68,Lobularia maritima,Sweet Alyssum,Annual,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Medium Risk,Brassicaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Rarely significant,No,Slow,Under 0.5m,Under 0.5m,White and purple,Light green,Humid Subtropical | Dry Subtropical | Temperate,Annual,Loam,Sun
69,Lonicera japonica,Japanese Honeysuckle,Groundcover,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,Very High Risk,Caprifoliaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,No,Rapid,2 to 5m,2 to 3m,Cream,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun | Semi-shade
70,Lycium barbarum,Chinese Box-thorn,Fruit | Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Very High Risk,Solanaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,No,Rapid,1 to 2m,1 to 2m,Yellow,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Semi-deciduous,Loam,Sun
71,Maurandya barclayana,Mexican Viper,Climber,Environmental Weed,Introduced,Early Stage of Invasion,Somewhat Invasive,Moderately High Risk,Plantaginaceae,Coasts and Heathlands,Rarely significant,No,Slow,2 to 5m,1 to 2m,Pink,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
72,Melaleuca hypericifolia,Hillock Bush,Shrub,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,High Risk,Myrtaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,Yes,Slow,0.5 to 1m,0.5 to 1m,White,Mid green,Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
73,Melaleuca linariifolia,Flax-leaf Paperbark,Small Tree,Environmental Weed,Introduced,Early Stage of Invasion,Somewhat Invasive,High Risk,Myrtaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,Yes,Slow,2 to 5m,2 to 3m,White,Mid green,Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
74,Melaleuca nesophila,Showy Honey-myrtle,Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Myrtaceae,Coasts and Heathlands |  Ranges,Occasionally significant,Yes,Slow,1 to 2m,1 to 2m,Pink,Mid green,Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
75,Melaleuca styphelioides,Prickly Paperbark,Small Tree,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Myrtaceae,Coasts and Heathlands |  Inland Plains,Currently Insignificant,Yes,,2 to 5m,1 to 2m,White,Mid green,Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
76,Melia azedarach,White Cedar,Medium Tree,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Medium Risk,Meliaceae,Inland Plains,Rarely significant,Yes,Rapid,5 to 8m,5 to 10m,Lavender,Dark green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Deciduous,Sand | Loam | Clay,Sun
77,Melissa officinalis,Lemon Balm,Herb | Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Lamiaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,No,Slow,Under 0.5m,0.5 to 1m,Insignificant,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun | Semi-shade
78,Mentha pulegium,Pennyroyal,Herb | Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,High Risk,Lamiaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Occasionally significant,No,Moderate,Under 0.5m,0.5 to 1m,Lavender,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun | Semi-shade
79,Mentha spicata,Spearmint,Herb | Perennial,Environmental Weed,Introduced,Moderate potential for further spread,Somewhat Invasive,Moderately High Risk,Lamiaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,No,Slow,Under 0.5m,0.5 to 1m,White,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun | Semi-shade
80,Nasturtium officinale,Watercress,Aquatic | Vegetable,Environmental Weed,Introduced,Moderate potential for further spread,Moderately Invasive,Moderately High Risk,Brassicaceae,Aquatic,Typically significant,No,Moderate,Under 0.5m,Under 0.5m,Insignificant,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun | Semi-shade
81,Nigella damascena,Love-in-a-mist,Bromeliad,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Ranunculaceae,Ranges,Currently Insignificant,No,,0.5 to 1m,Under 0.5m,Blue,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
82,Oenothera rosea,Rose Evening-primrose,Perennial,Previously Naturalised,Introduced,No wild populations persist in Victoria,Currently non-invasive,Lower Risk,Onagraceae,Mallee and Semi-arid,Currently Insignificant,No,,Under 0.5m,0.5 to 1m,Pink,Mid green,Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
83,Opuntia ficus-indica,Indian Fig,Succulent,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,Very High Risk,Cactaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,No,Moderate,2 to 5m,2 to 3m,Yellow,Mid green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
84,Passiflora edulis,Black Passion-fruit,Climber | Fruit,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Medium Risk,Passifloraceae,Coasts and Heathlands |  Ranges,Rarely significant,No,Moderate,5 to 8m,5 to 10m,White and lavender,Mid green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam,Sun
85,Petroselinum crispum,Parsley,Annual | Herb,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Apiaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Currently Insignificant,No,,Under 0.5m,Under 0.5m,White,Mid green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
86,Phoenix canariensis,Canary Island Date-palm,Palms and Cycads,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,Very High Risk,Arecaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,No,Moderate,5 to 8m,5 to 10m,Insignificant,Dark green,Dry Subtropical | Temperate,Evergreen,Loam,Sun
87,Physalis peruviana,Cape Gooseberry,Fruit | Shrub,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Moderately High Risk,Solanaceae,Coasts and Heathlands |  Ranges,Occasionally significant,No,Rapid,0.5 to 1m,1 to 2m,Insignificant,Light green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun | Semi-shade
88,Pinus pinea,Stone Pine,Large Tree,Environmental Weed,Introduced,Moderate potential for further spread,Somewhat Invasive,Medium Risk,Pinaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Rarely significant,No,Slow,5 to 8m,5 to 10m,Insignificant,Mid green,Dry Subtropical | Temperate,Evergreen,Sand | Loam,Shade | Semi-shade
89,Pittosporum eugenioides,Tarata,Shrub | Small Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Very High Risk,Pittosporaceae,Coasts and Heathlands |  Ranges,Typically significant,No,Moderate,2 to 5m,2 to 3m,Insignificant,Light green,Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
90,Pittosporum tenuifolium,Kohuhu,Shrub,Environmental Weed,Introduced,Early Stage of Invasion,Somewhat Invasive,High Risk,Pittosporaceae,Coasts and Heathlands |  Ranges,Occasionally significant,No,Moderate,2 to 5m,1 to 2m,Insignificant,Light green,Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
91,Pittosporum undulatum,Sweet Pittosporum,Small Tree,Environmental Weed,Native to Victoria,Extensive potential for further spread,Highly Invasive,Very High Risk,Pittosporaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,Yes,Rapid,2 to 5m,3 to 5m,White,Dark green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
92,Potentilla indica,Indian Strawberry,Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Rosaceae,Coasts and Heathlands |  Ranges,Occasionally significant,No,Moderate,Under 0.5m,0.5 to 1m,White and yellow,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam,Sun | Semi-shade
93,Prunus domestica,Plum,Fruit | Tree,Environmental Weed,Introduced,Early Stage of Invasion,Moderately Invasive,High Risk,Rosaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,No,Slow,8 to 15m,,White,Dark green,Temperate,Deciduous,Sand | Loam | Clay,Sun
94,Prunus dulcis,Almond,Fruit | Tree,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Rosaceae,Inland Plains,Currently Insignificant,No,,1 to 2m,1 to 2m,Pink,Dark green,Temperate,Deciduous,Sand | Loam | Clay,Sun
95,Pyrus communis,Pear,Fruit | Tree,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Rosaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Currently Insignificant,No,,5 to 8m,5 to 10m,White,Light green,Temperate,Deciduous,Sand | Loam | Clay,Sun
96,Raphanus sativus,Common Radish,Annual | Vegetable,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Brassicaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Currently Insignificant,No,,Under 0.5m,Under 0.5m,White,Dark green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Annual,Loam,Sun
97,Rubus idaeus,Raspberry,Fruit | Shrub,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Medium Risk,Rosaceae,Coasts and Heathlands |  Inland Plains,Rarely significant,No,Moderate,1 to 2m,1 to 2m,Insignificant,Mid green,Dry Subtropical | Temperate,Evergreen,Loam,Sun
98,Sambucus nigra,Common Elder,Fruit | Tree,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Moderately High Risk,Caprifoliaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,No,Rapid,2 to 5m,3 to 5m,White,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Deciduous,Sand | Loam | Clay,Sun
99,Scilla peruviana,Cuban Lily,Bulb,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Asparagaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Currently Insignificant,No,,Under 0.5m,0.5 to 1m,Blue,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Semi-deciduous,Sand | Loam,Semi-shade
100,Solanum lycopersicum,Tomato,Climber | Vegetable,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Solanaceae,Coasts and Heathlands,Currently Insignificant,No,,1 to 2m,1 to 2m,Yellow,Light green,Humid Tropical | Dry Tropical | Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Sun
101,Soleirolia soleirolii,Baby's Tears,Groundcover,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Urticaceae,Coasts and Heathlands |  Inland Plains,Currently Insignificant,No,,Under 0.5m,Under 0.5m,Insignificant,Mid green,Temperate,Evergreen,Loam,Shade | Semi-shade
102,Spiraea cantoniensis,May,Shrub,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Rosaceae,Ranges,Currently Insignificant,No,,1 to 2m,1 to 2m,White,Mid green,Humid Subtropical | Dry Subtropical | Temperate,Deciduous,Sand | Loam | Clay,Sun
103,Tecoma capensis,Cape Honeysuckle,Shrub,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Bignoniaceae,Coasts and Heathlands,Currently Insignificant,No,,2 to 5m,1 to 2m,Orange,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
104,Tropaeolum majus,Nasturtium,Annual,Environmental Weed,Introduced,Extensive potential for further spread,Somewhat Invasive,Moderately High Risk,Tropaeolaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Occasionally significant,No,Slow,Under 0.5m,1 to 2m,Orange,Light green,Humid Subtropical | Dry Subtropical | Temperate,Annual,Loam,Sun | Semi-shade
105,Ulmus parvifolia,Chinese Elm,Medium Tree,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Ulmaceae,Inland Plains,Currently Insignificant,No,,8 to 15m,5 to 10m,Insignificant,Green and yellow,Dry Subtropical | Temperate,Deciduous,Sand | Loam | Clay,Sun
106,Verbena aristigera,Moss Verbena,Perennial,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Verbenaceae,Coasts and Heathlands |  Inland Plains |  Mallee and Semi-arid,Currently Insignificant,No,,Under 0.5m,1 to 2m,pink,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Sand | Loam | Clay,Sun
107,Viburnum tinus,Laurestinus,Shrub,Environmental Weed,Introduced,Moderate potential for further spread,Somewhat Invasive,Medium Risk,Caprifoliaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Rarely significant,No,Slow,1 to 2m,1 to 2m,White,Dark green,Temperate,Evergreen,Sand | Loam | Clay,Sun
108,Vinca major,Blue Periwinkle,Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,High Risk,Apocynaceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,No,Slow,Under 0.5m,1 to 2m,Lavender,Dark green,Dry Subtropical | Temperate,Evergreen,Loam,Sun | Semi-shade
109,Viola banksii,Banks' Violet,Perennial,Environmental Weed,Introduced,Early Stage of Invasion,Somewhat Invasive,High Risk,Violaceae,Ranges,Occasionally significant,Yes,Slow,Under 0.5m,0.5 to 1m,White and lavender,Mid green,Humid Tropical | Humid Subtropical | Temperate,Evergreen,Loam,Semi-shade
110,Viola odorata,Common Violet,Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Moderately Invasive,Very High Risk,Violaceae,Coasts and Heathlands |  Ranges |  Inland Plains,Typically significant,No,Moderate,Under 0.5m,0.5 to 1m,Lavender,Dark green,Humid Subtropical | Dry Subtropical | Temperate,Evergreen,Loam,Semi-shade
111,Washingtonia robusta,Mexican Fan-palm,Palms and Cycads,Casual or Ruderal,Introduced,,Currently non-invasive,Lower Risk,Arecaceae,Inland Plains,Currently Insignificant,No,,8 to 15m,3 to 5m,Insignificant,Mid green,Humid Tropical | Humid Subtropical,Evergreen,Sand | Loam | Clay,Sun
112,Zantedeschia aethiopica,White Arum-lily,Perennial,Environmental Weed,Introduced,Extensive potential for further spread,Highly Invasive,Very High Risk,Araceae,Coasts and Heathlands |  Ranges |  Inland Plains |  Mallee and Semi-arid,Typically significant,No,Moderate,1 to 2m,1 to 2m,White,Dark green,Temperate,Evergreen,Sand | Loam | Clay,Sun | Semi-shade